iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SLE,Africa,Sierra Leone,2020-11-17,2392.0,1.0,0.857,74.0,0.0,0.0,293.809,0.123,0.105,9.089,0.0,0.0,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SLE,Africa,Sierra Leone,2020-11-18,2397.0,5.0,1.571,74.0,0.0,0.0,294.423,0.614,0.193,9.089,0.0,0.0,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SLE,Africa,Sierra Leone,2020-11-19,2397.0,0.0,1.429,74.0,0.0,0.0,294.423,0.0,0.175,9.089,0.0,0.0,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SLE,Africa,Sierra Leone,2020-11-20,2399.0,2.0,1.429,74.0,0.0,0.0,294.669,0.246,0.175,9.089,0.0,0.0,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SLE,Africa,Sierra Leone,2020-11-21,2405.0,6.0,2.0,74.0,0.0,0.0,295.406,0.737,0.246,9.089,0.0,0.0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SLE,Africa,Sierra Leone,2020-11-22,2405.0,0.0,2.0,74.0,0.0,0.0,295.406,0.0,0.246,9.089,0.0,0.0,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SLE,Africa,Sierra Leone,2020-11-23,2406.0,1.0,2.143,74.0,0.0,0.0,295.529,0.123,0.263,9.089,0.0,0.0,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SLE,Africa,Sierra Leone,2020-11-24,2406.0,0.0,2.0,74.0,0.0,0.0,295.529,0.0,0.246,9.089,0.0,0.0,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SLE,Africa,Sierra Leone,2020-11-25,2408.0,2.0,1.571,74.0,0.0,0.0,295.774,0.246,0.193,9.089,0.0,0.0,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SLE,Africa,Sierra Leone,2020-11-26,2409.0,1.0,1.714,74.0,0.0,0.0,295.897,0.123,0.211,9.089,0.0,0.0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
SLE,Africa,Sierra Leone,2020-11-27,2410.0,1.0,1.571,74.0,0.0,0.0,296.02,0.123,0.193,9.089,0.0,0.0,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,,,,
