iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
PAN,North America,Panama,2020-11-30,165806.0,1077.0,1449.714,3079.0,19.0,15.143,37841.575,245.802,330.865,702.714,4.336,3.456,1.2,,,,,,,,,7061.0,903735.0,206.258,1.612,9758.0,2.227,0.149,6.7,tests performed,,,,,,,,,,,,58.33,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,2662.4,13.96,21.89,607.634272818751
PAN,North America,Panama,2020-12-01,167311.0,1505.0,1483.0,3098.0,19.0,16.0,38185.058,343.483,338.462,707.05,4.336,3.652,1.21,,,,,,,,,10643.0,914378.0,208.687,2.429,9904.0,2.26,0.15,6.7,tests performed,,,,,,,,,,,,66.67,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
PAN,North America,Panama,2020-12-02,169339.0,2028.0,1543.857,3114.0,16.0,16.0,38647.904,462.846,352.351,710.702,3.652,3.652,1.22,,,,,,,,,9387.0,923765.0,210.829,2.142,9819.0,2.241,0.157,6.4,tests performed,,,,,,,,,,,,70.37,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
PAN,North America,Panama,2020-12-03,171219.0,1880.0,1561.714,3141.0,27.0,17.571,39076.973,429.069,356.427,716.864,6.162,4.01,1.22,,,,,,,,,14947.0,938712.0,214.24,3.411,10387.0,2.371,0.15,6.7,tests performed,,,,,,,,,,,,70.37,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
PAN,North America,Panama,2020-12-04,173607.0,2388.0,1694.714,3154.0,13.0,17.714,39621.981,545.009,386.781,719.831,2.967,4.043,1.22,,,,,,,,,13402.0,952114.0,217.299,3.059,10725.0,2.448,0.158,6.3,tests performed,,,,,,,,,,,,70.37,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
PAN,North America,Panama,2020-12-05,175907.0,2300.0,1779.143,3173.0,19.0,19.143,40146.906,524.924,406.05,724.167,4.336,4.369,1.22,,,,,,,,,14927.0,967041.0,220.706,3.407,11295.0,2.578,0.158,6.3,tests performed,,,,,,,,,,,,70.37,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
PAN,North America,Panama,2020-12-06,177719.0,1812.0,1855.714,3193.0,20.0,19.0,40560.455,413.549,423.526,728.732,4.565,4.336,1.21,,,,,,,,,9498.0,976539.0,222.874,2.168,11409.0,2.604,0.163,6.1,tests performed,,,,,,,,,,,,70.37,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
PAN,North America,Panama,2020-12-07,179230.0,1511.0,1917.714,3212.0,19.0,19.0,40905.308,344.853,437.676,733.068,4.336,4.336,1.21,,,,,,,,,7970.0,984509.0,224.693,1.819,11539.0,2.634,0.166,6.0,tests performed,,,,,,,,,,,,70.37,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
PAN,North America,Panama,2020-12-08,181166.0,1936.0,1979.286,3241.0,29.0,20.429,41347.157,441.849,451.728,739.687,6.619,4.662,1.2,,,,,,,,,11254.0,995763.0,227.261,2.568,11626.0,2.653,0.17,5.9,tests performed,,,,,,,,,,,,70.37,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
PAN,North America,Panama,2020-12-09,182977.0,1811.0,1948.286,3264.0,23.0,21.429,41760.478,413.321,444.653,744.936,5.249,4.891,1.2,,,,,,,,,8286.0,1004049.0,229.152,1.891,11469.0,2.618,0.17,5.9,tests performed,,,,,,,,,,,,70.37,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,,,,
