iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
MNG,Asia,Mongolia,2020-10-06,315.0,0.0,0.286,,,0.0,94.615,0.0,0.086,,,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNG,Asia,Mongolia,2020-10-07,315.0,0.0,0.286,,,0.0,94.615,0.0,0.086,,,0.0,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNG,Asia,Mongolia,2020-10-08,315.0,0.0,0.286,,,0.0,94.615,0.0,0.086,,,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNG,Asia,Mongolia,2020-10-09,315.0,0.0,0.286,,,0.0,94.615,0.0,0.086,,,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNG,Asia,Mongolia,2020-10-10,315.0,0.0,0.286,,,0.0,94.615,0.0,0.086,,,0.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNG,Asia,Mongolia,2020-10-11,318.0,3.0,0.571,,,0.0,95.516,0.901,0.172,,,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNG,Asia,Mongolia,2020-10-12,320.0,2.0,0.714,,,0.0,96.117,0.601,0.215,,,0.0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNG,Asia,Mongolia,2020-10-13,320.0,0.0,0.714,,,0.0,96.117,0.0,0.215,,,0.0,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNG,Asia,Mongolia,2020-10-14,320.0,0.0,0.714,,,0.0,96.117,0.0,0.215,,,0.0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNG,Asia,Mongolia,2020-10-15,320.0,0.0,0.714,,,0.0,96.117,0.0,0.215,,,0.0,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.74,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
