iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ETH,Africa,Ethiopia,2021-08-07,283667.0,585.0,471.714,4421.0,6.0,5.143,2406.482,4.963,4.002,37.505,0.051,0.044,1.56,,,,,,,,,7302.0,3063593.0,25.99,0.062,6363.0,0.054,0.074,13.5,tests performed,,,,,,7389.0,,,,,63.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
ETH,Africa,Ethiopia,2021-08-08,284091.0,424.0,503.714,4426.0,5.0,5.143,2410.079,3.597,4.273,37.548,0.042,0.044,1.54,,,,,,,,,5791.0,3069384.0,26.039,0.049,6541.0,0.055,0.077,13.0,tests performed,2270390.0,2270390.0,,,,7320.0,1.93,1.93,,,62.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
ETH,Africa,Ethiopia,2021-08-09,284531.0,440.0,528.286,4430.0,4.0,5.571,2413.812,3.733,4.482,37.582,0.034,0.047,1.52,,,,,,,,,5610.0,3074994.0,26.087,0.048,6636.0,0.056,0.08,12.6,tests performed,2286107.0,2286107.0,,,15717.0,9272.0,1.94,1.94,,,79.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
ETH,Africa,Ethiopia,2021-08-10,285413.0,882.0,587.571,4440.0,10.0,6.429,2421.294,7.482,4.985,37.667,0.085,0.055,1.53,,,,,,,,,7518.0,3082512.0,26.15,0.064,6810.0,0.058,0.086,11.6,tests performed,2291339.0,2291339.0,,,5232.0,9075.0,1.94,1.94,,,77.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
ETH,Africa,Ethiopia,2021-08-11,286286.0,873.0,639.286,4450.0,10.0,6.714,2428.7,7.406,5.423,37.751,0.085,0.057,1.49,,,,,,,,,6789.0,3089301.0,26.208,0.058,6935.0,0.059,0.092,10.8,tests performed,2297485.0,2297485.0,,,6146.0,6656.0,1.95,1.95,,,56.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
ETH,Africa,Ethiopia,2021-08-12,287184.0,898.0,669.429,4452.0,2.0,6.571,2436.318,7.618,5.679,37.768,0.017,0.056,1.44,,,,,,,,,7420.0,3096721.0,26.271,0.063,6910.0,0.059,0.097,10.3,tests performed,2302496.0,2302496.0,,,5011.0,6889.0,1.95,1.95,,,58.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
ETH,Africa,Ethiopia,2021-08-13,288159.0,975.0,725.286,4460.0,8.0,6.429,2444.59,8.271,6.153,37.836,0.068,0.055,1.39,,,,,,,,,7430.0,3104151.0,26.334,0.063,6837.0,0.058,0.106,9.4,tests performed,2311076.0,2311076.0,,,8580.0,6260.0,1.96,1.96,,,53.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
ETH,Africa,Ethiopia,2021-08-14,288788.0,629.0,731.571,4471.0,11.0,7.143,2449.926,5.336,6.206,37.93,0.093,0.061,1.33,,,,,,,,,5647.0,3109798.0,26.382,0.048,6601.0,0.056,0.111,9.0,tests performed,,,,,,6194.0,,,,,53.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
ETH,Africa,Ethiopia,2021-08-15,289274.0,486.0,740.429,4478.0,7.0,7.429,2454.049,4.123,6.281,37.989,0.059,0.063,1.31,,,,,,,,,5072.0,3114870.0,26.425,0.043,6498.0,0.055,0.114,8.8,tests performed,,,,,,6128.0,,,,,52.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
ETH,Africa,Ethiopia,2021-08-16,289962.0,688.0,775.857,4489.0,11.0,8.429,2459.885,5.837,6.582,38.082,0.093,0.072,1.31,,,,,,,,,5173.0,3120043.0,26.469,0.044,6436.0,0.055,0.121,8.3,tests performed,2314394.0,2314394.0,,,,4041.0,1.96,1.96,,,34.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,,,,
